Title,genres,rating,topcast,details
Chaos on the Bridge (2014) ,Documentary Biography History ,7.0,"William Shatner, William Shatner, William Shatner"," Official Sites: Official site    Country: Canada , USA  Language: English  Release Date: 25 August 2014 (Canada)             Also Known As: Star Trek: The Next Generation Untitled Documentary                 Filming Locations: Toronto, Ontario, Canada           Production Co:  Wacky Doodle Productions, Ballinran Entertainment, 455 Films                    Runtime: 59 min  Sound Mix: Dolby SR  Color: Color  Aspect Ratio: 1.78 : 1     "
A Huey P. Newton Story (2001) ,Documentary Biography Drama ,7.0,"Spike Lee, Roger Guenveur Smith, Roger Guenveur Smith"," Official Sites: Official Site    Country: USA  Language: English  Release Date: 18 June 2001 (USA)             Also Known As: Huey P. Newton: I istoria enos mavrou panthira                 Filming Locations: Manhattan, New York City, New York, USA  Production Co:  40 Acres & A Mule Filmworks, Luna Ray Films, Lyrical Knockout Entertainment                    Runtime: 86 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.33 : 1     "
"Charles Bronson, Hollywood's Lone Wolf (2020) ",Documentary Biography ,6.8,"Jean Lauritano, Jean Lauritano, Michel Zlotowski"," Official Sites: Arte [Germany] , Arte [France] ,           Country: France  Language: French , English  Release Date: 29 November 2020 (Germany)             Also Known As: Charles Bronson, le génie du mâle                 Production Co:  Slow Production, Arte France, Questar Entertainment                    Runtime: 52 min  Sound Mix: Stereo  Color: Color ,  Black and White (archive footage)     Aspect Ratio: 16:9 HD     "
13 Moments That Made Freddie Mercury and Queen (2019) ,Documentary Biography Music ,6.6,"Mark Turnbull, Tracy Ann Oberman, John Aizlewood", Country: UK  Language: English  Release Date: 26 July 2019 (UK)             Also Known As: Freddie Mercury: The Greatest Showman                 Production Co:  North One Television                    Runtime: 68 min  Color: Color 
Антуан Гризманн: Создание легенды (2019) ,Documentary Biography Sport ,6.5,-, Official Sites: Official Netflix    Release Date: 21 March 2019 (UK)             Also Known As: Антуан Гризманн: Создание легенды                          Runtime: 60 min  Sound Mix: Stereo 
35 лет (1991) ,Documentary Biography ,8.2,"Michael Apted, Bruce Balden, Jacqueline Bassett"," Country: UK  Language: English , Bengali , Bulgarian  Release Date: 15 January 1992 (USA)             Also Known As: 35 лет                 Opening Weekend USA: $13,690, 20 January 1992  Gross USA: $922,872         Cumulative Worldwide Gross: $922,872         Production Co:  Granada Television                    Runtime: 123 min  Sound Mix: Mono  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
42 года (1998) ,Documentary Biography ,8.2,"Michael Apted, Bruce Balden, Jacqueline Bassett"," Country: UK  Language: English , Latin  Release Date: 21 July 1998 (UK)             Also Known As: 42 года                 Opening Weekend USA: $11,599, 21 November 1999  Gross USA: $300,880         Cumulative Worldwide Gross: $300,880         Production Co:  British Broadcasting Corporation (BBC), Granada Television                    Runtime: 139 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.33 : 1     "
Ящики Стэнли Кубрика (2008) ,Documentary Biography History ,7.6,"Jon Ronson, Jon Ronson, Jon Ronson", Official Sites: More 4 [UK]    Country: UK  Language: English  Release Date: 15 July 2008 (UK)             Also Known As: Ящики Стэнли Кубрика                 Production Co:  World of Wonder Productions                    Color: Color  Aspect Ratio: 1.78 : 1     
Марк Твен (2001) ,Documentary Biography ,8.4,"Ken Burns, Dayton Duncan, Geoffrey C. Ward"," Country: USA  Language: English  Release Date: 14 January 2002 (USA)             Also Known As: Марк Твен                 Filming Locations: Center for Mark Twain Studies, Elmira College - One Park Place, Elmira, New York, USA           Production Co:  Florentine Films, WETA                    Runtime: 212 min  Sound Mix: Mono  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Мэджик и Лэрри: Дружба врагов (2010) ,Documentary Biography Sport ,8.3,"Ezra Edelman, Aaron Cohen, Charles Olivier", Country: USA  Language: English  Release Date: 10 March 2010 (USA)             Also Known As: Мэджик и Лэрри: Дружба врагов                 Production Co:  HBO Sports                    Color: Color 
The Real Michael Jackson (2020) ,Documentary Biography ,4.0,"Jacques Peretti, Jacques Peretti, Michael Jackson", Official Sites: on bbc2    Country: UK  Language: English  Release Date: 30 March 2020 (UK)             Budget:GBP1             (estimated)           Color: Color 
Joséphine Baker. Première icône noire (2018) ,Documentary Biography ,7.7,"Ilana Navaro, Léonie Simaga, Josephine Baker"," Country: France , Belgium , Estonia , Greece  Language: English  Release Date: 24 March 2019 (France)             Also Known As: Josephine Baker - scenen, publiken och politiken                 Production Co:  ARTE, Centre National du Cinéma et de l'Image Animée, Hellenic Radio & Television (ERT)                    Runtime: 52 min  Color: Color ,  Black and White "
